time,snd_data_indication_cnt,rcv_data_indication_cnt
2016/11/23 21:35:43,1645035,1679303
2016/11/23 21:39:43,1636644,1750779
2016/11/23 21:43:43,1672438,1749976
2016/11/23 21:47:43,1656833,1796347
2016/11/23 21:51:43,1715184,1831317
2016/11/23 21:55:43,1507515,1759269
2016/11/23 21:59:43,1772435,1926967
2016/11/23 22:03:43,1441716,1744705
2016/11/23 22:07:43,1751923,1954300
2016/11/23 22:11:43,1248799,1570574
2016/11/23 22:15:43,1787176,1946864
2016/11/23 22:19:43,1686549,1938302
2016/11/23 22:23:43,1376827,1637780
2016/11/23 22:27:43,915499,1250635
2016/11/23 22:31:43,245033,154727
2016/11/23 22:35:43,293969,187541
2016/11/23 22:39:43,195444,93134
2016/11/23 22:43:43,161793,36736
2016/11/23 22:47:43,159879,34124
2016/11/23 22:51:43,121718,34889
2016/11/23 22:55:43,129093,38921
2016/11/23 22:59:43,145854,30662
2016/11/23 23:03:43,197828,7397
2016/11/23 23:07:43,155994,719
2016/11/23 23:11:43,154617,30
2016/11/23 23:15:43,129297,8
2016/11/23 23:19:43,162319,0
2016/11/23 23:23:43,133273,7
2016/11/23 23:27:43,160250,1
2016/11/23 23:31:43,135546,3
2016/11/23 23:35:43,166193,0
2016/11/23 23:39:43,127691,1
2016/11/23 23:43:43,174792,0
2016/11/23 23:47:43,144314,2
2016/11/23 23:51:43,165333,0
2016/11/23 23:55:43,139369,3
2016/11/23 23:59:43,150155,1
2016/11/24 00:03:43,147917,2
2016/11/24 00:07:43,166404,0
2016/11/24 00:11:43,142355,2
2016/11/24 00:15:43,168422,0
2016/11/24 00:19:43,184597,1
2016/11/24 00:23:43,173160,0
2016/11/24 00:27:43,100600,1
2016/11/24 00:31:43,186412,0
2016/11/24 00:35:43,170733,0
2016/11/24 00:39:43,147612,0
2016/11/24 08:26:39,248086,166549
2016/11/24 08:30:39,316551,310975
2016/11/24 08:34:39,94111,4
2016/11/24 08:38:39,121796,0
2016/11/24 08:42:39,82572,0
2016/11/24 08:46:39,127347,0
2016/11/24 08:50:39,101497,20918
2016/11/24 08:54:39,271035,200132
2016/11/24 08:58:39,93446,1132
2016/11/24 09:02:39,96798,494
2016/11/24 03:40:08,674322,727068
2016/11/24 03:44:08,98295,10780
2016/11/24 03:48:08,340491,256314
2016/11/24 03:52:08,100955,10544
2016/11/24 03:56:08,373809,306121
2016/11/24 04:00:08,103122,10801
2016/11/24 04:04:08,344997,256827
2016/11/24 04:08:08,102071,11438
2016/11/24 04:12:08,396100,326546
2016/11/24 04:16:08,99148,10350
2016/11/24 04:20:08,331642,240615
2016/11/24 04:24:08,103385,10399
2016/11/24 04:28:08,313562,219838
2016/11/24 00:43:43,113072,43
2016/11/24 00:47:43,120739,30
2016/11/24 00:51:43,107782,6
2016/11/24 00:55:43,186702,0
2016/11/24 00:59:43,149724,1
2016/11/24 01:03:43,191229,0
2016/11/24 01:24:37,847134,935811
2016/11/24 01:28:37,65800,1810
2016/11/24 01:32:37,70516,31
2016/11/24 01:36:37,63094,33
2016/11/24 01:40:37,93586,33
2016/11/24 01:44:37,61719,34
2016/11/24 01:48:37,89442,38
2016/11/24 01:52:37,62989,35
2016/11/24 01:56:37,96320,32
2016/11/24 02:00:37,64063,33
2016/11/24 02:04:37,102487,35
2016/11/24 02:08:37,64028,36
2016/11/24 02:12:37,93609,35
2016/11/24 02:16:37,61150,35
2016/11/24 02:20:37,78313,34
2016/11/24 02:24:37,61020,33
2016/11/24 02:28:37,75236,33
2016/11/24 02:32:37,61518,38
2016/11/24 02:36:37,95829,34
2016/11/24 01:07:43,161236,1
2016/11/24 01:11:43,178409,0
2016/11/24 01:15:43,138921,4
2016/11/24 01:19:54,1,0
2016/11/24 09:06:39,86965,1328
2016/11/24 09:10:39,112299,14471
2016/11/24 09:14:39,83780,0
2016/11/24 09:18:39,160477,0
2016/11/24 09:22:39,167621,0
2016/11/24 09:26:39,181815,0
2016/11/24 09:30:39,159190,0
2016/11/24 07:00:26,351406,317671
2016/11/24 07:04:26,93527,5819
2016/11/24 07:08:26,139364,0
2016/11/24 07:12:26,147489,0
2016/11/24 07:16:26,350285,263172
